#{"t_start": 1660571251.3926332, "env_id": "Pusher-v1"}
r,l,t
-0.082221,1,16.038116
-0.049792,1,31.31626
-0.162276,1,43.09369
-0.222588,1,58.21585
-0.076802,1,74.04229
-0.16796,1,90.581577
-0.149438,1,101.504254
-0.060758,1,113.829063
-0.145258,1,125.256099
-0.164765,1,141.11695
-0.115732,1,154.509026
-0.210584,1,165.701711
-0.02851,1,181.908666
-0.177503,1,200.501335
-0.059833,1,211.806104
-0.149273,1,235.317294
-0.085247,1,254.307506
-0.100952,1,267.723347
-0.070768,1,279.157742
-0.087861,1,301.392228
-0.112759,1,314.753803
-0.199939,1,330.813421
-0.192137,1,340.775692
-0.222744,1,350.255592
-0.21304,1,362.054701
-0.104959,1,380.408759
-0.143415,1,387.030545
-0.128129,1,404.155979
-0.179407,1,422.284667
-0.211444,1,433.604326
-0.065399,1,447.867869
-0.200037,1,458.956168
-0.087564,1,473.680036
-0.085941,1,486.562939
-0.153728,1,502.650455
-0.062798,1,514.346341
-0.075061,1,529.638612
-0.180237,1,546.632545
-0.248175,1,563.83244
-0.141873,1,575.857558
-0.177644,1,589.527221
-0.069927,1,606.392854
-0.11547,1,613.448453
-0.087717,1,629.173367
-0.128514,1,641.341099
-0.211394,1,656.357344
-0.190533,1,670.947857
-0.116007,1,685.912193
-0.093676,1,698.644947
-0.185564,1,715.028939
-0.190517,1,727.671648
-0.064294,1,738.374362
-0.179049,1,756.535256
-0.157535,1,770.450126
-0.214353,1,788.073952
-0.085014,1,800.005813
-0.089569,1,814.776523
-0.189996,1,828.987223
-0.155161,1,844.804829
-0.151375,1,857.156598
-0.143258,1,874.440456
-0.128136,1,893.618389
-0.084661,1,905.798735
-0.20949,1,917.66213
-0.037421,1,934.017173
-0.136077,1,951.887977
-0.16152,1,964.039348
-0.137858,1,976.374596
-0.126252,1,986.646371
-0.181577,1,1007.84708
-0.114877,1,1029.585768
-0.201584,1,1044.549796
-0.083677,1,1056.516066
-0.083627,1,1068.799412
-0.045537,1,1081.10683
-0.211324,1,1095.074838
-0.185545,1,1113.77573
-0.179403,1,1128.67015
-0.190869,1,1140.516674
-0.111062,1,1152.482108
-0.233039,1,1162.490433
-0.087966,1,1172.963737
-0.105552,1,1188.643474
-0.234944,1,1200.752718
-0.15314,1,1213.036526
-0.181425,1,1227.423217
-0.151571,1,1246.556554
-0.20743,1,1262.836841
-0.224713,1,1275.373871
-0.090116,1,1289.322293
-0.186944,1,1306.020189
-0.111872,1,1322.167383
-0.058174,1,1337.122996
-0.085786,1,1349.975461
-0.190187,1,1364.106559
-0.167748,1,1381.176656
-0.175574,1,1392.687331
-0.091169,1,1406.132015
-0.196793,1,1418.380439
-0.092774,1,1432.161819
-0.140207,1,1446.996541
-0.184464,1,1461.428863
-0.049697,1,1479.687986
-0.214291,1,1497.099926
-0.125514,1,1510.511631
-0.236335,1,1525.241698
-0.099187,1,1539.81329
-0.133808,1,1558.475937
-0.174703,1,1575.453569
-0.122909,1,1595.179878
-0.166056,1,1613.826966
-0.084927,1,1625.754492
-0.192868,1,1642.673125
-0.040995,1,1655.279713
-0.22872,1,1669.746873
-0.108444,1,1684.032686
-0.183147,1,1702.927852
-0.103208,1,1721.296974
-0.077965,1,1732.870086
-0.056207,1,1749.236207
-0.165965,1,1760.109996
-0.142292,1,1772.72114
-0.098399,1,1783.456878
-0.193775,1,1800.75019
-0.220633,1,1812.75675
-0.069724,1,1828.106287
-0.138421,1,1838.767532
-0.142005,1,1851.615335
-0.105084,1,1863.802204
-0.145422,1,1878.362554
-0.118507,1,1891.016758
-0.201339,1,1905.973167
-0.123426,1,1918.204311
-0.102704,1,1932.052269
-0.13717,1,1943.934896
-0.174799,1,1956.259056
-0.121977,1,1975.394098
-0.233642,1,1991.374111
-0.046944,1,2010.139892
-0.065515,1,2023.022082
-0.185708,1,2040.262068
-0.143886,1,2057.866097
-0.239778,1,2070.190476
-0.045305,1,2085.048944
-0.183666,1,2095.621364
-0.147917,1,2112.667134
-0.243904,1,2133.188389
-0.114825,1,2148.421544
-0.11101,1,2163.953018
-0.162058,1,2190.824223
-0.156869,1,2204.60254
-0.13605,1,2222.769652
-0.198935,1,2240.135825
-0.118048,1,2252.431718
-0.080271,1,2263.08356
-0.135523,1,2277.220088
-0.112305,1,2289.571898
-0.102876,1,2300.217323
-0.143217,1,2315.873213
-0.101902,1,2336.090105
-0.164611,1,2352.079705
-0.156473,1,2362.785832
-0.211193,1,2377.642084
-0.047187,1,2392.717953
-0.199766,1,2407.863103
-0.106943,1,2422.46614
-0.243136,1,2440.781406
-0.064392,1,2453.10151
-0.067826,1,2468.477757
-0.090835,1,2484.849526
-0.125999,1,2495.773884
-0.212436,1,2509.96767
-0.166243,1,2529.665315
-0.134702,1,2543.66025
-0.150905,1,2558.443946
-0.210836,1,2573.218427
-0.12977,1,2588.192851
-0.171743,1,2606.3926
-0.09343,1,2617.320725
-0.078956,1,2636.930146
-0.15685,1,2652.150427
-0.066266,1,2664.253483
-0.25413,1,2681.135163
-0.199865,1,2693.512803
-0.108176,1,2708.409466
-0.134617,1,2720.549891
-0.096893,1,2733.256581
-0.151621,1,2743.817737
-0.037856,1,2755.885627
-0.066875,1,2763.655427
-0.243,1,2780.532401
-0.097203,1,2794.958818
-0.229865,1,2801.710883
-0.142306,1,2811.603251
-0.18598,1,2829.816561
-0.202552,1,2847.270663
-0.180069,1,2862.19951
-0.167075,1,2877.437104
-0.098727,1,2890.604687
-0.191489,1,2906.311255
-0.153978,1,2926.231796
-0.114785,1,2938.557869
-0.136188,1,2953.249436
-0.16359,1,2966.692612
-0.102684,1,2984.115541
-0.053509,1,2998.623386
-0.093709,1,3013.029766
-0.071336,1,3023.830433
-0.161467,1,3037.257333
-0.130907,1,3057.238607
-0.057204,1,3068.612281
-0.162145,1,3083.281023
-0.050181,1,3096.931987
-0.165528,1,3109.261417
-0.176227,1,3122.027905
-0.202778,1,3137.083643
-0.049763,1,3147.970926
-0.136149,1,3160.728166
-0.185213,1,3173.244268
-0.078097,1,3186.356119
-0.189231,1,3201.138629
-0.156243,1,3216.664768
-0.087854,1,3235.633473
-0.180592,1,3242.230663
-0.100072,1,3257.952965
-0.251413,1,3273.823516
-0.18534,1,3291.815599
-0.159158,1,3305.379724
-0.155245,1,3320.252202
-0.084862,1,3330.714263
-0.082578,1,3343.679105
-0.181497,1,3359.710167
-0.140395,1,3371.679845
-0.134535,1,3385.542498
-0.19385,1,3406.584836
-0.148955,1,3422.268626
-0.086781,1,3434.409692
-0.090209,1,3450.802466
-0.245311,1,3463.725417
-0.059477,1,3476.135723
-0.207356,1,3490.928352
-0.146266,1,3505.663902
-0.221751,1,3517.750523
-0.135193,1,3530.026086
-0.128175,1,3540.887532
-0.156983,1,3563.068
-0.167738,1,3577.707004
-0.142913,1,3588.34745
-0.208145,1,3600.656507
-0.048297,1,3623.546036
-0.119265,1,3643.24639
-0.123316,1,3657.761807
-0.1941,1,3672.741665
-0.130177,1,3689.896546
-0.153931,1,3697.481306
-0.148436,1,3711.072806
-0.08376,1,3723.641424
-0.179454,1,3735.367546
-0.052294,1,3748.599079
-0.132935,1,3765.859097
-0.135648,1,3788.180148
-0.153113,1,3804.573709
-0.208349,1,3817.622043
-0.137337,1,3830.215042
-0.045936,1,3848.273873
-0.096301,1,3865.883403
-0.119588,1,3877.57851
-0.154568,1,3890.759968
-0.126108,1,3909.392944
-0.199304,1,3923.520883
-0.195808,1,3934.108948
-0.141414,1,3948.797229
-0.106981,1,3970.150661
-0.156145,1,3985.408633
-0.174591,1,3999.56434
-0.163956,1,4016.382028
-0.204762,1,4031.834972
-0.210853,1,4043.981455
-0.169159,1,4059.946555
-0.124155,1,4076.293402
-0.130818,1,4088.568518
-0.077096,1,4104.44348
-0.07721,1,4117.352939
-0.079954,1,4131.241912
-0.152461,1,4144.579786
-0.162688,1,4160.634053
-0.1238,1,4176.081331
