#{"t_start": 1659809486.244296, "env_id": "Pusher-v1"}
r,l,t
-0.103736,1,8.400859
-0.127801,1,18.28017
-0.093225,1,27.16368
-0.062347,1,42.526798
-0.149456,1,54.568409
-0.093865,1,63.887881
-0.173389,1,73.002749
-0.246281,1,84.188678
-0.14219,1,93.272933
-0.220741,1,105.008014
-0.080819,1,117.222792
-0.156459,1,125.968928
-0.051982,1,139.413793
-0.178488,1,150.403769
-0.244483,1,162.183009
-0.188503,1,172.530442
-0.136736,1,183.5319
-0.042378,1,194.736108
-0.064548,1,208.056952
-0.210671,1,218.32458
-0.189406,1,234.018783
-0.102943,1,244.835931
-0.094747,1,257.262013
-0.043286,1,271.33228
-0.099211,1,280.640055
-0.147165,1,291.648584
-0.180595,1,302.584721
-0.090876,1,313.706208
-0.212421,1,327.238464
-0.147951,1,339.503887
-0.133296,1,350.689592
-0.128906,1,364.298905
-0.153916,1,373.545059
-0.108251,1,381.699065
-0.187029,1,390.906317
-0.241678,1,401.811917
-0.179512,1,413.081864
-0.115405,1,424.089476
-0.227176,1,433.268524
-0.127064,1,446.006092
-0.110479,1,453.669781
-0.098053,1,463.490163
-0.126788,1,474.013193
-0.039884,1,482.86577
-0.10462,1,492.353656
-0.193086,1,505.564396
-0.179063,1,515.358582
-0.150052,1,523.492794
-0.067802,1,535.735068
-0.175858,1,547.841917
-0.128396,1,559.130464
-0.174481,1,569.309849
-0.116488,1,580.050215
-0.152263,1,589.81894
-0.14648,1,601.494694
-0.113706,1,611.282944
-0.102043,1,619.874121
-0.082847,1,625.671808
-0.078173,1,638.216084
-0.155581,1,647.83872
-0.136308,1,659.516848
-0.15576,1,669.960788
-0.168308,1,681.463983
-0.155686,1,691.359828
-0.033159,1,699.521636
-0.035153,1,713.25919
-0.053808,1,719.001809
-0.044395,1,730.561614
-0.173543,1,741.67932
-0.137481,1,750.309596
-0.170987,1,766.585196
-0.246692,1,778.11994
-0.143753,1,792.733669
-0.110412,1,803.752103
-0.141777,1,819.259348
-0.14075,1,832.417197
-0.129145,1,844.653965
-0.191831,1,855.523971
-0.160227,1,864.708732
-0.158544,1,875.552806
-0.124483,1,884.783265
-0.086569,1,893.556942
-0.033779,1,904.117404
-0.173147,1,916.555432
-0.126704,1,925.22437
-0.203904,1,934.882532
-0.173493,1,946.330562
-0.180874,1,955.657254
-0.064637,1,968.47743
-0.175724,1,978.97445
-0.145175,1,989.691025
-0.116945,1,997.962195
-0.150171,1,1007.277987
-0.085003,1,1015.621146
-0.155397,1,1024.836768
-0.088031,1,1038.017079
-0.126709,1,1051.192394
-0.132731,1,1059.913179
-0.170985,1,1072.703273
-0.107619,1,1082.825832
-0.10956,1,1095.282109
-0.139226,1,1106.976763
-0.126117,1,1116.068162
-0.067359,1,1135.188916
-0.107802,1,1145.15254
-0.093597,1,1156.715448
-0.161471,1,1169.035707
-0.223117,1,1178.867423
-0.10789,1,1187.650713
-0.242066,1,1197.982672
-0.057027,1,1210.916326
-0.145866,1,1224.094484
-0.061909,1,1236.092508
-0.140781,1,1248.212943
-0.124111,1,1259.943396
-0.156075,1,1271.423249
-0.17466,1,1284.922934
-0.103907,1,1297.227429
-0.26559,1,1310.791806
-0.130987,1,1321.425089
-0.105398,1,1333.122525
-0.070272,1,1347.057063
-0.122529,1,1361.068733
-0.133355,1,1370.007147
-0.165527,1,1380.697318
-0.153231,1,1393.547494
-0.093702,1,1403.361368
-0.172948,1,1419.554215
-0.189962,1,1432.264206
-0.138712,1,1451.462417
-0.154627,1,1460.155158
-0.070096,1,1475.216523
-0.205698,1,1491.774502
-0.132448,1,1505.208501
-0.090989,1,1515.407104
-0.064667,1,1533.777159
-0.186788,1,1544.362536
-0.052815,1,1554.619074
-0.135271,1,1560.639684
-0.092925,1,1569.34812
-0.135373,1,1576.449081
-0.114912,1,1589.316357
-0.049712,1,1601.644749
-0.191313,1,1609.354128
-0.127219,1,1621.672372
-0.095271,1,1631.816612
-0.094902,1,1644.108457
-0.175624,1,1656.425548
-0.084555,1,1668.186777
-0.08924,1,1679.04785
-0.181082,1,1690.73615
-0.266523,1,1704.150667
-0.169168,1,1716.149315
-0.124994,1,1727.384926
-0.161118,1,1738.630216
-0.19463,1,1748.507245
-0.15018,1,1758.611829
-0.120953,1,1767.27769
-0.172274,1,1778.802963
-0.095259,1,1787.668036
-0.179971,1,1799.858671
-0.115385,1,1810.07839
-0.137456,1,1819.558555
-0.151477,1,1828.049451
-0.19871,1,1839.094504
-0.127975,1,1851.3626
-0.183572,1,1861.017699
-0.239448,1,1870.182056
-0.065247,1,1883.01701
-0.132113,1,1895.23382
-0.147438,1,1910.264587
-0.129255,1,1916.635631
-0.147852,1,1926.408075
-0.081628,1,1937.434509
-0.153761,1,1951.63895
-0.045595,1,1962.293988
-0.156141,1,1971.664008
-0.067276,1,1983.636959
-0.078908,1,1995.941177
-0.139614,1,2005.794052
-0.159648,1,2020.15944
-0.191064,1,2030.202141
-0.119065,1,2040.259404
-0.167688,1,2052.235858
-0.071901,1,2064.657671
-0.097948,1,2076.171124
-0.176866,1,2084.951839
-0.203079,1,2098.239402
-0.157437,1,2109.848533
-0.150566,1,2119.54879
-0.219896,1,2129.888746
-0.109065,1,2142.662242
-0.178817,1,2154.0869
-0.115127,1,2163.732989
-0.134472,1,2172.651473
-0.129923,1,2186.245898
-0.23596,1,2206.299959
-0.123011,1,2215.447746
-0.181378,1,2227.456657
-0.22919,1,2241.620622
-0.129503,1,2249.378421
-0.074715,1,2258.827265
-0.2081,1,2272.994646
-0.252067,1,2279.795096
-0.197768,1,2297.459033
-0.126079,1,2305.052004
-0.162334,1,2319.370984
-0.094085,1,2331.642051
-0.121858,1,2341.44089
-0.10406,1,2353.750045
-0.166141,1,2362.91828
-0.242473,1,2374.752483
-0.123349,1,2383.766253
-0.06766,1,2396.092868
-0.123626,1,2409.801231
-0.124412,1,2419.748929
-0.212714,1,2433.090189
-0.173082,1,2444.494839
-0.161995,1,2456.448356
-0.230845,1,2468.916196
-0.143604,1,2479.188002
-0.160073,1,2489.349851
-0.081564,1,2497.88482
-0.234311,1,2509.995842
-0.105132,1,2519.850202
-0.152216,1,2530.456665
-0.208181,1,2544.787244
-0.152084,1,2559.588027
-0.142798,1,2568.498409
-0.106955,1,2583.999404
-0.185608,1,2599.111699
-0.229311,1,2612.235694
-0.117955,1,2628.473648
-0.123005,1,2639.370127
-0.219629,1,2649.280134
-0.147962,1,2662.83764
-0.163362,1,2676.593966
-0.211215,1,2691.624418
-0.141664,1,2702.619693
-0.228109,1,2712.483793
-0.16216,1,2724.858863
-0.049881,1,2736.209885
-0.124862,1,2747.137794
-0.156818,1,2757.138999
-0.094341,1,2765.595697
-0.240927,1,2774.138943
-0.201184,1,2787.553647
-0.146338,1,2798.231214
-0.142955,1,2807.63279
-0.045407,1,2818.767671
-0.137496,1,2831.738792
-0.047064,1,2842.000144
-0.146723,1,2851.793772
-0.199655,1,2866.017713
-0.056477,1,2875.655717
-0.053316,1,2887.931491
-0.195088,1,2899.214316
-0.12964,1,2914.127592
-0.097902,1,2926.935325
-0.159506,1,2935.696106
-0.213303,1,2947.140115
-0.172305,1,2956.957073
-0.106556,1,2968.014386
-0.192007,1,2978.82201
-0.061494,1,2995.101212
-0.145178,1,3021.250316
-0.204708,1,3041.381126
-0.110694,1,3051.462263
-0.198115,1,3061.237632
-0.195658,1,3073.364632
-0.177959,1,3085.750513
-0.086656,1,3101.476576
-0.117465,1,3115.446582
-0.18817,1,3127.041632
-0.081361,1,3140.130545
-0.07743,1,3152.279929
-0.127339,1,3163.903085
-0.113899,1,3173.76581
-0.153618,1,3187.534044
-0.214903,1,3197.947058
-0.073225,1,3211.302118
-0.103694,1,3222.807285
-0.109438,1,3234.267128
-0.209851,1,3243.250501
-0.061551,1,3255.486856
-0.160948,1,3270.017158
-0.07818,1,3284.820101
-0.107793,1,3294.209558
-0.082019,1,3305.823309
-0.119641,1,3315.032278
-0.132049,1,3330.052746
-0.102425,1,3336.665556
-0.114078,1,3346.399155
-0.226657,1,3354.795485
-0.087858,1,3366.5294
-0.071133,1,3376.75771
-0.067647,1,3386.873774
-0.211013,1,3396.572911
-0.203235,1,3408.379954
-0.148608,1,3416.550301
-0.230907,1,3428.063005
-0.149471,1,3434.33794
-0.077848,1,3440.7419
-0.134116,1,3453.768468
-0.095873,1,3463.479739
-0.130716,1,3472.909819
-0.08793,1,3483.202553
-0.12691,1,3492.563919
-0.035033,1,3502.495366
-0.236242,1,3512.051131
-0.193829,1,3526.092548
-0.167021,1,3536.588189
-0.171201,1,3546.148412
-0.118692,1,3558.78191
-0.192385,1,3570.102231
-0.040892,1,3583.411797
-0.210182,1,3594.415014
-0.172569,1,3605.703225
-0.152546,1,3617.769097
-0.036357,1,3631.139488
-0.144365,1,3642.469209
-0.077422,1,3655.235688
-0.153298,1,3666.627774
-0.109617,1,3675.358182
-0.19508,1,3684.674083
-0.253846,1,3701.363221
-0.07711,1,3709.754653
-0.255391,1,3722.890625
-0.144937,1,3732.457581
-0.162956,1,3745.618478
-0.098408,1,3755.40932
-0.05494,1,3764.809232
-0.123389,1,3777.205104
-0.044906,1,3787.527215
-0.178983,1,3801.413266
-0.066469,1,3815.295051
-0.161331,1,3828.757212
-0.152014,1,3838.991776
-0.101129,1,3857.105351
-0.111019,1,3866.759526
-0.132129,1,3875.900433
-0.032435,1,3889.123757
-0.200852,1,3900.942342
-0.08992,1,3914.109629
-0.079179,1,3923.934968
-0.067018,1,3935.404275
-0.059719,1,3944.997853
-0.14353,1,3958.144412
-0.115857,1,3975.942856
-0.181927,1,3991.239177
-0.115722,1,4004.690029
-0.054593,1,4016.143813
-0.174865,1,4025.587378
-0.225948,1,4035.538065
-0.115469,1,4050.440209
-0.030751,1,4060.744185
-0.087824,1,4073.998409
-0.149605,1,4086.029059
-0.21136,1,4096.379338
-0.202737,1,4106.777579
-0.13595,1,4115.603514
-0.102082,1,4125.226687
-0.03803,1,4134.370289
-0.072168,1,4140.363451
-0.168954,1,4150.993537
-0.086845,1,4163.242752
-0.144127,1,4174.407545
-0.14201,1,4184.352752
-0.199648,1,4193.8293
-0.215018,1,4204.197545
-0.191356,1,4218.485829
-0.107891,1,4228.261449
-0.06127,1,4239.570347
-0.171285,1,4253.771554
-0.151427,1,4265.274791
-0.076655,1,4278.889527
-0.145937,1,4289.257068
-0.16337,1,4303.246366
-0.074045,1,4312.629197
-0.062894,1,4322.53493
-0.151557,1,4335.850273
-0.093249,1,4348.570059
-0.095478,1,4362.008673
-0.147238,1,4371.431994
-0.15409,1,4381.874157
-0.140994,1,4394.035015
-0.081751,1,4408.473398
-0.167532,1,4420.299247
-0.234483,1,4430.029464
-0.128729,1,4438.246158
-0.044279,1,4451.763782
-0.09274,1,4461.576762
-0.174753,1,4470.609465
-0.153216,1,4481.757984
-0.096592,1,4492.884246
-0.109346,1,4503.596718
-0.144794,1,4514.82572
-0.207797,1,4527.969633
-0.16123,1,4545.617637
-0.07344,1,4556.70394
-0.082025,1,4567.792675
-0.174341,1,4584.000035
-0.162797,1,4597.168804
