#{"t_start": 1658166201.5768535, "env_id": "Pusher-v0"}
r,l,t
-0.038801,1,9.652918
-0.024321,1,20.306772
-0.135102,1,31.857969
-0.078401,1,35.668654
-0.001082,1,44.269964
-0.087973,1,51.355901
-0.034937,1,63.328053
-0.018168,1,73.276239
-0.018674,1,85.214613
-0.100873,1,103.331003
-0.116047,1,111.472415
-0.11936,1,119.099946
-0.128528,1,127.242047
-0.130309,1,137.723699
-0.061999,1,149.583894
-0.06912,1,154.292388
-0.011011,1,163.877534
-0.061651,1,172.52749
-0.069805,1,177.175308
-0.108121,1,181.091112
-0.074263,1,184.787274
-0.09896,1,196.785769
-0.039381,1,205.354514
-0.06863,1,216.300407
-0.014175,1,225.363237
-0.012616,1,232.989441
-0.123018,1,239.954133
-0.150003,1,250.204192
-0.066074,1,262.980388
-0.15,1,270.709585
-0.122775,1,281.341951
-0.051482,1,293.379416
-0.15,1,307.728807
-0.027606,1,320.669301
-0.072301,1,329.144786
-0.007895,1,341.350412
-0.056308,1,350.507649
-0.140491,1,357.704771
-0.091268,1,366.299345
-0.051451,1,374.755762
-0.024527,1,385.259544
-0.149999,1,389.228504
-0.043318,1,400.335232
-0.150001,1,407.919639
-0.057726,1,419.670001
-0.103793,1,426.667602
-0.020947,1,435.52449
-0.030415,1,446.323278
-0.018562,1,459.179695
-0.068225,1,468.24524
-0.067059,1,479.39648
-0.045911,1,492.520185
-0.099583,1,500.806315
-0.039967,1,509.263595
-0.075689,1,518.04547
-0.08129,1,526.76505
-0.033554,1,535.468936
-0.043798,1,542.558492
-0.080847,1,553.789199
-0.019452,1,564.079155
-0.043104,1,574.871566
-0.099573,1,581.875419
-0.085898,1,593.602943
-0.116753,1,603.082574
-0.086459,1,612.063447
-0.004155,1,627.233624
-0.108905,1,631.535977
-0.036892,1,639.830954
-0.065676,1,649.238046
-0.150001,1,656.927121
-0.04902,1,666.763941
-0.094853,1,676.744381
-0.031626,1,687.934637
-0.051115,1,697.064949
-0.096547,1,707.516172
-0.107693,1,715.506776
-0.142818,1,723.555517
-0.013062,1,734.240771
-0.026703,1,747.629399
-0.15,1,755.428379
-0.149463,1,766.786611
-0.002016,1,777.094683
-0.015101,1,785.81923
-0.023456,1,794.510707
-0.022426,1,802.788453
-0.031417,1,813.803233
-0.102329,1,829.043343
-0.078289,1,841.139372
-0.109059,1,849.069321
-0.033805,1,860.63303
-0.047388,1,872.135392
-0.135143,1,882.123918
-0.100647,1,899.614596
-0.136738,1,910.303319
-0.005101,1,920.53053
-0.053507,1,931.751766
-0.136202,1,939.782946
-0.071868,1,951.913144
-0.045858,1,965.05841
-0.1101,1,976.349018
-0.13378,1,989.543046
-0.142057,1,997.436479
-0.087307,1,1006.933702
-0.03142,1,1015.89671
-0.056001,1,1028.33827
-0.150003,1,1038.36457
-0.014735,1,1049.42582
-0.120168,1,1061.009035
-0.020387,1,1070.063699
-0.060933,1,1081.401273
-0.052998,1,1091.839215
-0.056444,1,1106.767487
-0.118044,1,1116.119493
-0.084545,1,1124.44963
-0.141323,1,1135.336158
-0.07405,1,1145.802566
-0.014812,1,1154.920494
-0.07779,1,1167.91764
-0.02625,1,1179.049164
-0.01189,1,1193.094514
-0.041971,1,1204.567473
-0.083833,1,1212.879455
-0.073674,1,1224.80445
-0.012955,1,1232.824386
-0.054003,1,1244.231627
-0.009264,1,1256.297096
-0.150013,1,1266.990523
-0.099584,1,1279.494253
-0.039218,1,1291.996937
-0.135107,1,1300.718167
-0.042989,1,1309.394572
-0.024561,1,1318.192537
-0.149999,1,1326.40824
-0.042002,1,1334.429478
-0.092641,1,1345.734736
-0.127252,1,1356.35869
-0.130121,1,1364.293648
-0.03779,1,1373.300957
-0.001229,1,1378.751632
-0.028288,1,1389.45503
-0.149999,1,1393.717249
-0.143188,1,1403.866078
-0.053404,1,1413.082437
-0.001415,1,1423.852821
-0.112427,1,1431.544961
-0.054504,1,1440.941892
-0.000693,1,1452.720758
-0.079034,1,1463.658947
-0.044594,1,1477.013707
-0.017995,1,1489.403841
-0.14734,1,1497.955788
-0.005267,1,1507.509208
-0.075323,1,1519.057643
-0.025718,1,1530.332473
-0.022316,1,1539.149973
-0.059798,1,1544.637192
-0.102114,1,1555.232512
-0.145421,1,1564.664792
-0.017854,1,1576.060306
-0.124979,1,1587.268848
-0.027716,1,1592.338607
-0.109592,1,1603.255302
-0.141013,1,1611.593142
-0.102766,1,1621.772698
-0.073255,1,1629.800617
-0.035583,1,1638.6284
-0.035776,1,1650.699503
-0.053215,1,1665.802733
-0.029291,1,1675.040992
-0.106246,1,1683.864037
-0.031926,1,1694.769003
-0.072901,1,1703.569596
-0.150014,1,1711.77764
-0.124274,1,1722.307879
-0.046079,1,1733.179397
-0.002234,1,1742.159918
-0.062407,1,1752.283038
-0.017101,1,1761.42203
-0.077825,1,1773.114552
-0.072523,1,1781.447054
-0.027687,1,1794.330612
-0.032359,1,1808.61377
-0.114751,1,1818.408608
-0.006647,1,1830.005659
-0.070911,1,1838.468495
-0.131503,1,1848.779353
-0.034631,1,1857.320833
-0.069565,1,1865.99504
-0.048074,1,1879.045239
-0.062012,1,1887.854872
-0.055416,1,1897.298209
-0.123696,1,1909.427291
-0.008177,1,1921.522681
-0.019034,1,1936.144138
-0.05885,1,1944.603245
-0.009789,1,1953.65435
-0.01585,1,1963.797255
-0.124751,1,1978.081142
-0.078966,1,1987.149463
-0.020428,1,2001.476771
-0.083994,1,2014.167598
-0.073697,1,2026.075367
-0.107737,1,2034.551547
-0.11321,1,2042.757549
-0.111295,1,2054.499171
-0.150007,1,2064.698609
-0.029806,1,2073.580171
-0.024918,1,2081.694494
-0.046049,1,2090.584522
-0.0119,1,2101.680676
-0.119057,1,2109.300266
-0.012827,1,2118.430703
-0.128878,1,2130.833987
-0.109677,1,2142.473357
-0.06012,1,2152.978209
-0.062141,1,2168.124915
-0.032636,1,2181.581632
-0.074533,1,2192.277323
-0.045388,1,2206.443009
-0.009484,1,2214.569984
-0.060456,1,2225.207615
-0.068433,1,2233.739084
-0.095413,1,2243.360729
-0.078693,1,2254.976851
-0.039274,1,2264.117644
-0.013336,1,2273.271084
-0.114289,1,2284.447037
-0.065447,1,2297.751716
-0.073627,1,2311.433536
-0.016159,1,2322.088515
-0.028287,1,2329.968639
-0.046166,1,2343.061148
-0.027057,1,2351.344589
-0.073115,1,2361.301306
-0.08604,1,2374.863765
-0.149998,1,2388.320062
-0.099023,1,2398.700062
-0.022723,1,2403.819009
-0.078261,1,2416.848564
-0.058605,1,2424.462472
-0.043394,1,2434.876741
-0.013704,1,2445.707208
-0.024183,1,2461.02223
-0.004972,1,2470.464383
-0.047248,1,2475.814997
-0.104838,1,2488.806865
-0.048888,1,2498.216926
-0.06059,1,2507.929968
-0.002197,1,2519.109386
-0.071712,1,2530.827211
-0.004169,1,2541.328025
-0.073103,1,2556.442904
-0.118507,1,2569.791334
-0.008862,1,2580.678932
-0.131676,1,2592.09675
-0.014093,1,2600.725554
-0.105125,1,2619.040736
-0.090124,1,2626.999462
-0.029093,1,2635.935604
-0.015623,1,2647.972097
-0.057069,1,2659.00507
-0.034252,1,2669.155009
-0.007535,1,2685.139405
