#{"t_start": 1657820044.003312, "env_id": "Ur5eReach-v1"}
r,l,t
-0.9845272370621563,2,17.275162
-0.5165866196526514,2,27.975162
-1.0319066433066533,1,38.675162
-0.5230801044771902,1,49.375162
-0.8738991919623911,1,60.075162000000006
-0.5650985424339416,2,70.77516200000001
-0.7871494122354268,1,81.47516200000001
-0.735424758389625,1,92.17516200000001
-0.7581834423432161,1,102.87516200000002
-0.6004735785943685,1,113.57516200000002
-1.4083690170245329,2,124.27516200000002
-1.378207222073188,1,134.975162
-0.5097708886979364,2,145.675162
-1.1135522781547138,1,156.375162
-1.093209900316128,2,167.07516199999998
-0.7090002583917743,1,177.77516199999997
-1.1663067888655219,1,188.47516199999995
-0.588372089956936,1,199.17516199999994
-1.7543933836362677,1,209.87516199999993
-0.4342331936067051,1,220.57516199999992
-0.888020619315659,1,231.2751619999999
-1.5995233476622164,1,241.9751619999999
-1.0919819871497922,1,252.6751619999999
-1.5638141234557086,1,263.3751619999999
-1.2016152796697583,1,274.07516199999986
-1.4038881617089178,2,284.77516199999985
-0.9098442643324867,1,295.47516199999984
-0.16303423421537855,2,306.17516199999983
-0.7072536909099033,2,316.8751619999998
-1.691026399121941,1,327.5751619999998
-1.3410404756999674,2,338.2751619999998
-1.7117610252019722,1,348.9751619999998
0.13722876794999284,2,359.6751619999998
-0.7225714177031707,1,370.37516199999976
-1.5515240236119396,1,381.07516199999975
0.024875227668129662,1,391.77516199999974
-0.879785323301537,2,402.4751619999997
-1.1889059974721343,2,413.1751619999997
-1.609769214151754,2,423.8751619999997
-1.087201057796565,1,434.5751619999997
-1.1207023644175886,2,445.2751619999997
-1.242847866065097,2,455.97516199999967
-0.9036486075544651,2,466.67516199999966
-0.49519680368264485,2,477.37516199999965
-1.3741742911432122,2,488.07516199999964
-1.2246712060097282,1,498.7751619999996
-0.9273503288940401,1,509.4751619999996
-0.0885763339820479,2,520.1751619999997
-1.1086695836110223,1,530.8751619999997
-0.6734681408564782,1,541.5751619999998
-0.6370993366014053,1,552.2751619999998
-1.5615058701609261,1,562.9751619999998
-1.2246453945475249,1,573.6751619999999
-0.9460847013463995,1,584.3751619999999
-0.6459895327404106,1,595.075162
-1.0136499382892257,2,605.775162
-1.4884832429458341,2,616.4751620000001
-1.106464841972193,1,627.1751620000001
-0.7631475093664166,2,637.8751620000002
-0.6022813654577701,2,648.5751620000002
-0.6914987889582064,1,659.2751620000003
-0.8215938375392362,1,669.9751620000003
-1.6074019180156847,2,680.6751620000003
-0.7036944269588612,1,691.3751620000004
-0.8471041978962126,1,702.0751620000004
-1.2779989590353142,2,712.7751620000005
-1.3201940778953696,2,723.4751620000005
-1.4627315084294954,2,734.1751620000006
-1.0149682467014678,2,744.8751620000006
-1.4372753497722162,1,755.5751620000007
0.3296795128843115,2,766.2751620000007
-1.2616958660573128,1,776.9751620000008
-0.8587383143120777,2,787.6751620000008
-0.8407267405309751,1,798.3751620000008
-1.276933991346243,2,809.0751620000009
-0.7809691995578145,1,819.7751620000009
-1.1989743743982026,2,830.475162000001
-1.1591243983585693,1,841.175162000001
-1.1081771910351523,1,851.8751620000011
-1.4379884308328288,2,862.5751620000011
-1.676449549800275,2,873.2751620000012
-0.0719746024636091,1,883.9751620000012
-0.8143818043651622,2,894.6751620000013
-0.4935595343529118,2,905.3751620000013
-1.4720143000216661,2,916.0751620000013
-0.970332338879979,2,926.7751620000014
-0.19405190087680868,2,937.4751620000014
-1.163636136941023,1,948.1751620000015
-1.5796235752384251,1,958.8751620000015
-0.9247503617272219,2,969.5751620000016
-0.980008617080187,2,980.2751620000016
-1.1188551201121366,1,990.9751620000017
-0.9982205293775884,2,1001.6751620000017
-1.1687853157895554,1,1012.3751620000018
-1.6846078334599839,1,1023.0751620000018
-1.1070247332077996,1,1033.7751620000017
-0.36451764773020623,1,1044.4751620000018
-1.3714174153307723,1,1055.1751620000018
-1.4809965078126825,2,1065.8751620000019
-0.9166055137445914,1,1076.575162000002
-1.6433694250643263,2,1087.275162000002
-0.9872942954599143,2,1097.975162000002
-0.9001899866415619,2,1108.675162000002
-1.3643956339172947,1,1119.375162000002
-0.6760249323084437,2,1130.0751620000021
-2.0229596606056512,2,1140.7751620000022
-0.9447474865447777,2,1151.4751620000022
-1.192642234514381,1,1162.1751620000023
-0.7145282803369901,1,1172.8751620000023
-0.5468918381450234,2,1183.5751620000024
-1.2157430197723118,1,1194.2751620000024
-0.9739777596477848,1,1204.9751620000025
-1.8224007572447434,1,1215.6751620000025
-0.07647483470726535,2,1226.3751620000025
-0.9608822463093284,2,1237.0751620000026
-1.001348887866827,2,1247.7751620000026
-1.375857844205787,2,1258.4751620000027
-1.5476057828042853,1,1269.1751620000027
-1.01616295335378,2,1279.8751620000028
-0.45417041381192347,2,1290.5751620000028
-0.7647951361669356,1,1301.2751620000029
-0.5087590259568997,1,1311.975162000003
-0.8687473379634207,2,1322.675162000003
-0.6792836875341656,2,1333.375162000003
-1.7661819612209015,2,1344.075162000003
-1.1389500772293006,2,1354.775162000003
-1.676038667388156,1,1365.4751620000031
-1.4337098764483074,1,1376.1751620000032
-0.6103613135896686,1,1386.8751620000032
-1.6884735116754381,1,1397.5751620000033
-1.3556649431616217,1,1408.2751620000033
-1.199700985418405,2,1418.9751620000034
-0.6823372509870353,2,1429.6751620000034
-1.5713067527069358,1,1440.3751620000035
-1.2732542840045156,1,1451.0751620000035
-1.0061826747524374,2,1461.7751620000035
-1.297867829892932,2,1472.4751620000036
-0.49121444193528485,2,1483.1751620000036
-0.9588543842840654,1,1493.8751620000037
-0.8050028890408919,1,1504.5751620000037
-1.2090160618282995,2,1515.2751620000038
-1.7477385322082923,2,1525.9751620000038
-0.8473236678583773,2,1536.6751620000039
-1.171032660540693,1,1547.375162000004
-0.9009294120059559,1,1558.075162000004
-1.3647164850007045,1,1568.775162000004
-0.4896807328597963,2,1579.475162000004
-0.9775020298967343,2,1590.175162000004
-0.8963970455810435,1,1600.8751620000041
-0.3985657506944247,2,1611.5751620000042
-0.31417955892043614,1,1622.2751620000042
-0.9804122158274905,1,1632.9751620000043
-1.1231887926154507,2,1643.6751620000043
-1.4765543666149898,1,1654.3751620000044
-1.09475979231328,2,1665.0751620000044
-0.03545607423280972,2,1675.7751620000045
-1.3699520490456316,1,1686.4751620000045
-0.7864873590867918,1,1697.1751620000045
-1.1468398403186948,2,1707.8751620000046
-0.7879868373326648,2,1718.5751620000046
-1.176696547413574,1,1729.2751620000047
-1.1786493514922856,1,1739.9751620000047
-1.1113985283798686,2,1750.6751620000048
-1.4290464830720853,1,1761.3751620000048
-0.9274511098169311,1,1772.0751620000049
-0.8412083535616359,2,1782.775162000005
-0.9122322732312834,2,1793.475162000005
-0.7282869451896385,1,1804.175162000005
-0.9192667371553939,1,1814.875162000005
-1.2427024347940399,1,1825.575162000005
-1.1158729533497076,2,1836.2751620000051
-0.3096918328192344,2,1846.9751620000052
-0.6955538112553676,1,1857.6751620000052
-1.3234809104479717,1,1868.3751620000053
0.10665910618688557,1,1879.0751620000053
-1.827875906799843,2,1889.7751620000054
-1.4604877257198225,1,1900.4751620000054
-0.6230678496980682,2,1911.1751620000055
-1.3396933179078143,2,1921.8751620000055
-1.9259671568837071,1,1932.5751620000055
-1.0098895392284972,2,1943.2751620000056
-1.4176358363744093,2,1953.9751620000056
0.3839140142212716,2,1964.6751620000057
-2.234046614219733,1,1975.3751620000057
-0.6597319629425848,2,1986.0751620000058
-1.4288292240231197,1,1996.7751620000058
-0.4549705230170584,2,2007.4751620000059
-0.7383132715465496,2,2018.175162000006
0.13674864968526856,1,2028.875162000006
-0.7059330457723803,1,2039.575162000006
0.17668826682945693,2,2050.275162000006
0.09176410582826522,2,2060.9751620000056
-0.7873625778623282,2,2071.6751620000055
-0.3716639793713239,1,2082.3751620000053
-1.1000387725684662,2,2093.075162000005
-1.7546651134063078,2,2103.775162000005
-1.441031182638999,1,2114.4751620000047
-0.4847246765946379,2,2125.1751620000045
-0.22435395095796562,2,2135.8751620000044
-1.494319445249598,1,2146.575162000004
-0.8683953658807521,1,2157.275162000004
-0.9317155813948216,2,2167.975162000004
-1.4469980307897594,2,2178.6751620000036
-0.32624729635653715,1,2189.3751620000035
-1.3968953532483077,2,2200.0751620000033
-0.6352009782893961,1,2210.775162000003
-1.917847540293912,2,2221.475162000003
-0.721697643623308,1,2232.1751620000027
-0.9689678520919071,2,2242.8751620000025
-0.9130906319748547,1,2253.5751620000024
-0.2798511003408479,2,2264.275162000002
-1.0277254646055558,1,2274.975162000002
-2.0834430513336666,1,2285.675162000002
-1.0919254391200723,1,2296.3751620000016
-1.6102329667418065,2,2307.0751620000015
-1.6098998892595333,2,2317.7751620000013
-1.184491414027483,2,2328.475162000001
-1.255631118603807,2,2339.175162000001
-0.614249708980001,2,2349.8751620000007
-1.3952029829080321,1,2360.5751620000005
-0.7740844616127811,1,2371.2751620000004
-0.34516052470343084,1,2381.975162
-0.9193112866703248,1,2392.675162
-1.3051146559066076,2,2403.375162
-0.12230287207863988,1,2414.0751619999996
-1.4800405165293666,1,2424.7751619999995
-0.37617020044589367,1,2435.4751619999993
-2.2899172023093497,2,2446.175161999999
-0.8660612672460759,2,2456.875161999999
-0.49541766854244296,1,2467.5751619999987
-0.7574002732655382,2,2478.2751619999985
-0.03492533439055723,2,2488.9751619999984
-1.646715213566531,1,2499.675161999998
-0.9979149739027707,1,2510.375161999998
-1.0833173120781867,1,2521.075161999998
